Производитель;Артикул №;Категории (x,y,z)
Klipsch;Klipsch R-28F;АС фронтальная
Klipsch;Klipsch R-26F;АС фронтальная
Klipsch;Klipsch R-24F;АС фронтальная
Klipsch;Klipsch R-15M;Полочная
Klipsch;Klipsch R-25C;АС центрального канала 
Klipsch;Klipsch R-14S;АС тыловая 
