Наименование;Артикуль
Yamaha;ARXA-660BL
Yamaha;ARXA-660TI
Yamaha;ARXA-860BL
Yamaha;ARXA-860TI
Yamaha;ARXA1060BL
Yamaha;ARXA-1060TI
Yamaha;ARXA-2060BL
Yamaha;ARXA-2060TI
Yamaha;ARXA-3060BL
Yamaha;ARXA-3060TI
Yamaha;RX-A710DBL
Yamaha;RX-A710DTI
Yamaha;MX-A5000 
Yamaha;CX-A5100BL
Yamaha;CX-A5100TI
Yamaha;CX-A5100GD
