;;;;;;;;;
;Усилители мощности;Усилитель мощности AV7702;Marantz;AV7702MK2 ;50; Предусилитель/процессор компании Marantz серии AV7702;^Компания Marantz представила AV7702, свой первый предусилитель/процессор, оснащенный новейшей технологией Dolby Atmos – для захватывающего дух 3-мерного окружающего звука. Подлинная универсальность вместе с прославленным качеством звука Marantz дает энтузиастам домашнего кино возможность войти в новый мир окружающего звука. У этого процессора есть встроенный Bluetooth и WiFi, а также самые новейшие технологии обработки аудио и видео.

Созданный на базе прекрасно зарекомендовавшего себя предшественника, новый AV7702 имеет схемную топологию с последним вариантом токовой обратной связи и с фирменными гипердинамичными модулями Marantz HDAM высокого разрешения. Он обладает такой мощью и утонченностью, которая поражает и восхищает. Благодаря встроенным Wi-Fi и Bluetooth, он открывает почти неограниченный выбор источников музыки, таких как интернет-радио, сервис Spotify Connect и AirPlay. 

Через DLNA сеть AV7702 воспроизводит практически любые потоковые музыкальные файлы, хранящиеся на PC или на внешнем накопителе, в том числе MP3, WMA, FLAC HD, ALAC, WAV192/24 и AAC. Поддерживается также DSD поток, AIFF и воспроизведение без пауз (Gapless), чтобы без помех насладиться живыми концертами или записями классической музыки. Имеется USB вход, совместимый по цифре с iPod, а также вход фонокорректора Phono MM, который идеально подходит для воспроизведения виниловых пластинок.

Видео секция, оснащенная мощным процессором, поддерживает новейший  HDMI стандарт (4k 60 Гц, сквозной пропуск), 7+1 HDMI входов и 3 выхода на главную зону и мультизону. Более того, AV7702 масштабирует стандартные видеосигналы до Full HD 1080p и даже до разрешения 4k с частотой кадров 50/60 Гц. Все это гарантирует полную совместимость с новейшими HD дисплеями и HD источниками. 
Благодаря четырем DSP-процессорам, AV7702 способен обрабатывать до 11.2 каналов, чтобы полностью поддерживать форматы Audyssey DSX, DTS Neo:X 11.1, а также новейшую технологию декодирования Dolby Atmos. Энтузиасты домашнего кино смогут полностью погрузиться в ощущение трехмерного окружения звуком. Благодаря Dolby Atmos звук поступает со всех направлений, в том числе и сверху, заполняя кинозал поразительно ясным, детальным и мощным звучанием. У AV7702 имеется достаточная вычислительная мощь, чтобы обрабатывать еще более обволакивающий - 7, 9 или 11-канальный Dolby Atmos с использованием 5.1.2, 5.1.4, 7.1.2, 7.1.4 или 9.1.2 конфигураций – с потолочными колонками или же с Dolby Atmos-оборудованными АС. 

Конфигурации 5.1.2 или 5.1.4 базируются на традиционном расположении 5.1 АС, дополненным двумя или четырьмя верхними колонками или же Dolby Atmos-оборудованными АС. Конфигурации 7.1.2 или 7.1.4 базируются на расположении 7.1 АС, дополненным четырьмя верхними или Dolby Atmos-оборудованными АС. Конфигурация 9.1.2 базируется на расположении 9.1 АС с двумя верхними колонками.
В завершение нужно добавить, что AV7702 имеет 13.2-канальный выход предусилителя (11.2 каналов на XLR, 13.2 каналов на RCA) – для обеспечения экстремальной универсальности при выборе усилителей. Самая продвинутая система коррекции акустики помещения Audyssey MultEQ XT32 (Pro ready) проводит точную калибровку колонок – чтобы гарантировать нахождение каждого места в зале в зоне оптимального прослушивания. Audyssey LFC сокращает утечку басов через стены, чтобы сохранить хорошие отношения с соседями, а Audyssey Sub EQ HT заботится об идеальной интеграции басов от двух сабвуферов в комплекте домашнего театра.

^;2650;2650
;Усилители мощности;Усилитель мощности AV8802A ;Marantz;AV8802A ;50;Предусилитель/процессор Marantz AV8802A;^11.2-канальный AV предусилитель/процессор Marantz AV8802A оснащен новейшими аудио и видео технологиями с целью достичь наивысшего уровня воспроизведения музыки и окружающего звука для кинофильмов. У него теперь реализован полный протокол защиты  HDCP 2.2 , что потребовало аппаратной модификации по сравнению с версией без буквы «А» в наименовании.
У AV8802A имеются также декодеры новых форматов трехмерного (3D) окружающего звука, включая Dolby Atmos и Auro-3D (необходим платный апгрейд), что позволяет подключить дополнительные акустические системы и погрузиться в расширенное и углубленное звуковое поле. AV8802 поднимает качество звука на новую высоту за счет чрезвычайно деликатной обработки всех сигналов с помощью фирменных гипердинамичных модулей Marantz HDAM, включенных в схемную топологию с токовой обратной связью. С балансных выходных разъемов XLR они выдаются на отдельный усилитель мощности. Усилительные модули Marantz HDAM (Hyper Dynamic Amplifier Module), которые можно найти в компонентах серии Reference,  обеспечивают низкий уровень шумов и широкую полосу пропускания.
Видео секция с полной поддержкой HDCP 2.2 обеспечивает обработку и декодирование сигналов высокого разрешения, и оборудована средствами масштабирования для преобразования видео стандартного разрешения  (SD) от старых компонентов в сигнал 4K/60Hz – необыкновенно четкий и полный жизни. .
Кроме того, AV8802A оснащен встроенными WiFi и Bluetooth с полными сетевыми возможностями, что открывает для владельца практически неограниченный  выбор источников музыки, таких как интернет-радио, Spotify Connect и AirPlay. Он может воспроизводить потоковые музыкальные файлы, хранящиеся на PC или внешнем накопителе, благодаря совместимости с сетевым стандартом DLNA. Одновременно фанаты винила по достоинству оценят вход фонокорректора Phono MM для любителей винила.  У AV8802A 8 HDMI входов, в том числе один на передней панели, и 3 HDMI выхода, что позволяет подключить 2 разных дисплея в главной комнате и еще один HDMI дисплей во второй Зоне.^;4415;4415
;Усилители мощности;Усилитель мощности MM7025 ;Marantz;MM7025 ;50;2-канальный усилитель мощности  MM7025 ;MM7025 это идеальный 2-канальный усилитель мощности с ошеломительными 140 Вт rms на 8 Ом, на канал. Используйте его в AV комплектах, чтобы дать жару фронтальным каналам или же сделайте апгрейд существующей стерео системы. Т.к. технология одна и та же в моделях MM7055 и MM8003, использовать их вместе легко, эффективно и просто. Такой усилитель – великолепное средство формирования комплектов под заказ. Так же, как у старшего брата MM7055, у него есть новый стильный дисплей, XLR входы, 12-В триггерные входы и разъем D-Bus шины управления Marantz.;831;831
;Усилители мощности;Усилитель мощности MM7055 ;Marantz;MM7055 ;50;5-канальный вариант усилителя мощности MM7055 ;MM7055 – это 5-канальный вариант усилителя мощности. Созданный с использованием фирменных технологий и схемотехники топового 8-канального MM8003 и использующий то же самое шасси, Он выдает полновесные 140 Вт rms на 8 Ом в каждом из каналов, при этом технология токовой обратной связи обеспечивает ультра-широкую полосу пропускания, необходимую для SACD, да и для всех новых аудио форматов высокого разрешения - DTS Master Audio и Dolby TrueHD. В результате владелец получает абсолютно точный тональный баланс, превосходный звуковой образ, бесподобную скорость и динамику. Ко всему этому еще вы получаете балансные аудио входы XLR, 12-В триггерные входы и шину управления Marantz для удаленного контроля включения/выключения. Такая мощь и удобство просто захватывает дух.;1838;1838
;Усилители мощности;Усилитель мощности MM8077 ;Marantz;MM8077 ;50;7-канальный усилитель мощности Marantz MM8077;7-канальный усилитель мощности Marantz MM8077 сконструирован для достижения наивысшего качества воспроизведения музыки и звуковых дорожек кинофильмов. В нем использованы такие же технологии, как и в референсных hi-fi усилителях компании, включая технологию токовой обратной связи в мощных каскадах, обеспечивающую высокую скорость нарастания сигнала и широкую полосу пропускания, необходимую для современных аудио форматов высокого разрешения. Все выходные каскады имеют одинаковую топологию – для идентичного качества всех каналов, кроме того MM8077 предоставляет выбор между балансными (XLR) и небалансными (RCA) входами каждого из каналов - для максимальной гибкости в применении. Мощные широкополосные транзисторы в выходных каскадах, рассчитанные на большие токи, легко и с апломбом выдают краткие всплески музыкального сигнала, причем даже на капризных акустических системах с малым импедансом.;1838;1838
;Усилители мощности;Усилитель мощности PM5005 ;Marantz;PM5005 ;50;Интегральный усилитель начального уровня Marantz PM5005;Интегральный усилитель начального уровня Marantz PM5005 с реализованной токовой обратной связью, которая до недавнего времени применялась только в более дорогостоящих моделях. Благодаря этой технологии обеспечивается точная и быстрая обработка аудиосигнала, что позволяет достичь невероятно детального и сбалансированного стереозвука с широкой сценой. Выходная мощность аппарата составляет 40 Вт на канал при использовании акустики с импедансом 4 Ом (2 x 55 Вт на 8-омной нагрузке). Кроме того в новинке использованы фирменные модули HDAM-SA3. В комплекте имеется пульт дистанционного управления RC002PMCD, с помощью которого можно управлять не только данным усилителем, но и CD-проигрывателем и сетевым плеером того же производителя.;418;418
;Усилители мощности;Усилитель мощности PM6006   ;Marantz;PM6006   ;50;Превосходный интегрированный усилитель PM6006   ;^The PM6006 – это обновленный наследник увенчанного многочисленными наградами PM6005. Разумеется, конструкторы сохранили секции предусилителя и усиления мощности, которые построены исключительно на дискретных компонентах — на пути сигнала нет ни одной микросхемы. PM6006 получил схемный апгрейд для повышения пикового значения тока в выходном каскаде, благодаря чему звучание улучшилось и стало гораздо более детальным. Этот превосходный интегрированный усилитель можно напрямую подсоединить к выходам широкого разнообразия цифровых источников и использовать его великолепный ЦАП CS4398 с разрешением 24бит/192кГц и выдачей больших токов – чтобы обеспечить невероятно высокий уровень качества звука от всех новых медиа.
Более того, теперь у него 2 оптических и 1 коаксиальный цифровой вход (на один оптический вход больше, чем у предшественника, PM6005). Вся цифровая секция полностью экранирована дополнительным металлическим корпусом, что блокирует воздействие цифрового сигнала на аналоговый. И, разумеется, сохранены все функции предшественника, такие как 5 линейных аудио входов, включая фонокорректор, две пары позолоченных колоночных клемм для би-ваеринга, а также универсальный пульт. Экранированный тороидальный силовой трансформатор, заказные компоненты и уникальные гипердинамичные модули Marantz HDAM отвечают за мощный, динамичный и детальный – фирменный звук Marantz. Короче говоря, обновленный PM6006 – это новая звезда с превосходными генами.

Технология Marantz HDAM
Marantz разработал свои собственные схемы усилителей на печатных платах, чтобы заменить стандартные интегральные схемы. Эти HDAM (гипердинамичные усилительные модули) состоят из дискретных компонентов, смонтированных на поверхность, с кратчайшими, зеркально подобными путями сигналов L/R каналов. Они делают то же самое, что и операционные усилители, но кардинально превосходят их по времени нарастания сигнала (Slew Rate) и пониженному уровню шумов, обеспечивая гораздо более динамичный, точный и детальный звук. Многие годы Marantz разрабатывает различные типы HDAM, чтобы улучшить их качество и уложиться в специфические требования продуктов, таких как CD-плееры или усилители.

Токовая обратная связь
Технология токовой обратной связи в усилителях обеспечивает более широкую полосу пропускания и высокоскоростное воспроизведение звука. В комбинации с тороидальным трансформатором, PM6006 обладает большим запасом энергии, что позволяет с легкостью справляться даже с самыми капризными акустическими системами.

Тороидальный трансформатор
Тороидальный трансформатор обладает рядом преимуществ перед обычным Ш-образным. У него более высокий к.п.д. и он может выдать большую мощность, чем Ш-образный трансформатор такого же размера. Кроме того, благодаря своей форме он создает меньше электромагнитных наводок и механических вибраций, улучшая общее качество звука.

Блок питания, выдающий большие токи
В блоке питания используются быстродействующие, сильнотоковые диоды Шоттки, а также накопительные конденсаторы, способные выдавать большие токи, что вместе способствует расширению динамического диапазона и возможности работы с низкоимпедансной нагрузкой.

ЦАП референсного качества для цифрового входа
PM6006 оборудован ЦАП референсного класса CS4398, обеспечивающим высокое разрешение – до 192 кГц/24 бит – для оптимальной работы с аудио файлами высокого разрешения.

Расширенная связь по цифровым входам (2 оптических, 1 коаксиальный) с поддержкой Hi-res Audio
