Категория;Название;Артикул
АС-фронтальная;Klipsch;Klipsch R-28F
АС-фронтальная;Klipsch;Klipsch R-26F
АС-фронтальная;Klipsch;Klipsch R-24F
Полочная;Klipsch;Klipsch R-15M
АС-центрального канала;Klipsch;Klipsch R-25C
АС-тыловая;Klipsch;Klipsch R-14S
