Название;Артикул
Сабвуфер Klipsch R-12SW;Klipsch R-12SW
Сабвуфер Klipsch RP-110SW;Klipsch RP-110SW
Сабвуфер Klipsch RP-112SW;Klipsch RP-112SW
Сабвуфер Klipsch RP-115SW;Klipsch RP-115SW
Сабвуфер Klipsch SW-110;Klipsch SW-110
Сабвуфер Klipsch SW-112;Klipsch SW-112
Сабвуфер Klipsch SW-115;Klipsch SW-115
Сабвуфер Klipsch SW-310;Klipsch SW-310
Сабвуфер Klipsch SW-350;Klipsch SW-350
Сабвуфер Klipsch SW-450;Klipsch SW-450
