;;
Категория;Название;Артикул
АС-фронтальная;Klipsch;Klipsch RP-280F
;;
АС-фронтальная;Klipsch;Klipsch  RP-260F
;;
АС-фронтальная;Klipsch;Klipsch RP-250F
;;
Полочная;Klipsch;Klipsch RP-160M
;;
Полочная;Klipsch;Klipsch RP-150M
;;
АС-центрального канала;Klipsch;Klipsch RP-450C
;;
АС-центрального канала;Klipsch;Klipsch RP-440C
;;
АС-центрального канала;Klipsch;Klipsch RP-250C
;;
АС-тыловая;Klipsch;Klipsch RP-250S
;;
АС-тыловая;Klipsch;Klipsch RP-240S
;;
