Производитель;Артикул №;Категории;
Klipsch;Klipsch R-28F;Фронтальная;
Klipsch;Klipsch R-26F;Фронтальная;
Klipsch;Klipsch R-24F;Фронтальная;
Klipsch;Klipsch R-15M;Полочная;
Klipsch;Klipsch R-25C;центрального канала; 
Klipsch;Klipsch R-14S;тыловая; 
